price,area,Location,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
13300000,7420,Kharghar,4,2,3,yes,no,no,no,yes,2,yes,furnished
12250000,8960,Kharghar,4,4,4,yes,no,no,no,yes,3,no,furnished
12250000,9960,Kharghar,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
12215000,7500,Kharghar,4,2,2,yes,no,yes,no,yes,3,yes,furnished
11410000,7420,Kharghar,4,1,2,yes,yes,yes,no,yes,2,no,furnished
10850000,7500,Kharghar,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
10150000,8580,Kharghar,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished
10150000,16200,Sector-13 Kharghar,5,3,2,yes,no,no,no,no,0,no,unfurnished
9870000,8100,Kharghar,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
9800000,5750,Kharghar,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
9800000,13200,Kharghar,3,1,2,yes,no,yes,no,yes,2,yes,furnished
9681000,6000,Kharghar,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
9310000,6550,Kharghar,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
9240000,3500,Kharghar,4,2,2,yes,no,no,yes,no,2,no,furnished
9240000,7800,Kharghar,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
9100000,6000,Kharghar,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
9100000,6600,Sector 18 Kharghar,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
8960000,8500,Kharghar,3,2,4,yes,no,no,no,yes,2,no,furnished
8890000,4600,Kharghar,3,2,2,yes,yes,no,no,yes,2,no,furnished
8855000,6420,Kharghar,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
8750000,4320,Kharghar,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished
8680000,7155,Kharghar,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
8645000,8050,Kharghar,3,1,1,yes,yes,yes,no,yes,1,no,furnished
8645000,4560,Kharghar,3,2,2,yes,yes,yes,no,yes,1,no,furnished
8575000,8800,Kharghar,3,2,2,yes,no,no,no,yes,2,no,furnished
8540000,6540,Kharghar,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
8463000,6000,Kharghar,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
8400000,8875,Kharghar,3,1,1,yes,no,no,no,no,1,no,semi-furnished
8400000,7950,Kharghar,5,2,2,yes,no,yes,yes,no,2,no,unfurnished
8400000,5500,Kharghar,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
8400000,7475,Kharghar,3,2,4,yes,no,no,no,yes,2,no,unfurnished
8400000,7000,Kharghar,3,1,4,yes,no,no,no,yes,2,no,semi-furnished
8295000,4880,Kharghar,4,2,2,yes,no,no,no,yes,1,yes,furnished
8190000,5960,Kharghar,3,3,2,yes,yes,yes,no,no,1,no,unfurnished
8120000,6840,Kharghar,5,1,2,yes,yes,yes,no,yes,1,no,furnished
8080940,7000,Kharghar,3,2,4,yes,no,no,no,yes,2,no,furnished
8043000,7482,Kharghar,3,2,3,yes,no,no,yes,no,1,yes,furnished
7980000,9000,Kharghar,4,2,4,yes,no,no,no,yes,2,no,furnished
7962500,6000,Kharghar,3,1,4,yes,yes,no,no,yes,2,no,unfurnished
7910000,6000,Kharghar,4,2,4,yes,no,no,no,yes,1,no,semi-furnished
7875000,6550,Kharghar,3,1,2,yes,no,yes,no,yes,0,yes,furnished
7840000,6360,Kharghar,3,2,4,yes,no,no,no,yes,0,yes,furnished
7700000,6480,Kharghar,3,2,4,yes,no,no,no,yes,2,no,unfurnished
7700000,6000,Kharghar,4,2,4,yes,no,no,no,no,2,no,semi-furnished
7560000,6000,Kharghar,4,2,4,yes,no,no,no,yes,1,no,furnished
7560000,6000,Kharghar,3,2,3,yes,no,no,no,yes,0,no,semi-furnished
7525000,6000,Kharghar,3,2,4,yes,no,no,no,yes,1,no,furnished
7490000,6600,Kharghar,3,1,4,yes,no,no,no,yes,3,yes,furnished
7455000,4300,Kharghar,3,2,2,yes,no,yes,no,no,1,no,unfurnished
7420000,7440,Kharghar,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished
7420000,7440,Kharghar,3,2,4,yes,no,no,no,no,1,yes,unfurnished
7420000,6325,Kharghar,3,1,4,yes,no,no,no,yes,1,no,unfurnished
7350000,6000,Kharghar,4,2,4,yes,yes,no,no,yes,1,no,furnished
7350000,5150,Kharghar,3,2,4,yes,no,no,no,yes,2,no,semi-furnished
7350000,6000,Kharghar,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished
7350000,6000,Kharghar,3,1,2,yes,no,no,no,yes,1,no,unfurnished
7343000,11440,Kharghar,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished
7245000,9000,Kharghar,4,2,4,yes,yes,no,no,yes,1,yes,furnished
7210000,7680,Kharghar,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished
7210000,6000,Kharghar,3,2,4,yes,yes,no,no,yes,1,no,furnished
7140000,6000,Kharghar,3,2,2,yes,yes,no,no,no,1,no,semi-furnished
7070000,8880,Kharghar,2,1,1,yes,no,no,no,yes,1,no,semi-furnished
7070000,6240,Kharghar,4,2,2,yes,no,no,no,yes,1,no,furnished
7035000,6360,Kharghar,4,2,3,yes,no,no,no,yes,2,yes,furnished
7000000,11175,Kharghar,3,1,1,yes,no,yes,no,yes,1,yes,furnished
6930000,8880,Kharghar,3,2,2,yes,no,yes,no,yes,1,no,furnished
6930000,13200,Kharghar,2,1,1,yes,no,yes,yes,no,1,no,furnished
6895000,7700,Kharghar,3,2,1,yes,no,no,no,no,2,no,unfurnished
6860000,6000,Kharghar,3,1,1,yes,no,no,no,yes,1,no,furnished
6790000,12090,Kharghar,4,2,2,yes,no,no,no,no,2,yes,furnished
6790000,4000,Kharghar,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished
6755000,6000,Kharghar,4,2,4,yes,no,no,no,yes,0,no,unfurnished
6720000,5020,Kharghar,3,1,4,yes,no,no,no,yes,0,yes,unfurnished
6685000,6600,Kharghar,2,2,4,yes,no,yes,no,no,0,yes,furnished
6650000,4040,Kharghar,3,1,2,yes,no,yes,yes,no,1,no,furnished
6650000,4260,Kharghar,4,2,2,yes,no,no,yes,no,0,no,semi-furnished
6650000,6420,Kharghar,3,2,3,yes,no,no,no,yes,0,yes,furnished
6650000,6500,Kharghar,3,2,3,yes,no,no,no,yes,0,yes,furnished
6650000,5700,Kharghar,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
6650000,6000,Kharghar,3,2,3,yes,yes,no,no,yes,0,no,furnished
6629000,6000,Kharghar,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished
6615000,4000,Kharghar,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished
6615000,10500,Kharghar,3,2,1,yes,no,yes,no,yes,1,yes,furnished
6580000,6000,Kharghar,3,2,4,yes,no,no,no,yes,0,no,semi-furnished
6510000,3760,Kharghar,3,1,2,yes,no,no,yes,no,2,no,semi-furnished
6510000,8250,Kharghar,3,2,3,yes,no,no,no,yes,0,no,furnished
6510000,6670,Kharghar,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
6475000,3960,Kharghar,3,1,1,yes,no,yes,no,no,2,no,semi-furnished
6475000,7410,Kharghar,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished
6440000,8580,Kharghar,5,3,2,yes,no,no,no,no,2,no,furnished
6440000,5000,Kharghar,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
6419000,6750,Kharghar,2,1,1,yes,yes,yes,no,no,2,yes,furnished
6405000,4800,Kharghar,3,2,4,yes,yes,no,no,yes,0,no,furnished
6300000,7200,Kharghar,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished
6300000,6000,Kharghar,4,2,4,yes,no,no,no,no,1,no,semi-furnished
6300000,4100,Kharghar,3,2,3,yes,no,no,no,yes,2,no,semi-furnished
6300000,9000,Kharghar,3,1,1,yes,no,yes,no,no,1,yes,furnished
6300000,6400,Kharghar,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
6293000,6600,Kharghar,3,2,3,yes,no,no,no,yes,0,yes,unfurnished
6265000,6000,Kharghar,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished
6230000,6600,Sector 20 Kharghar,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished
6230000,5500,Kharghar,3,1,3,yes,no,no,no,no,1,yes,unfurnished
6195000,5500,Kharghar,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished
6195000,6350,Kharghar,3,2,3,yes,yes,no,no,yes,0,no,furnished
6195000,5500,Kharghar,3,2,1,yes,yes,yes,no,no,2,yes,furnished
6160000,4500,Kharghar,3,1,4,yes,no,no,no,yes,0,no,unfurnished
6160000,5450,Kharghar,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
6125000,6420,Kharghar,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
6107500,3240,Kharghar,4,1,3,yes,no,no,no,no,1,no,semi-furnished
6090000,6615,Kharghar,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished
6090000,6600,Kharghar,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
6090000,8372,Kharghar,3,1,3,yes,no,no,no,yes,2,no,unfurnished
6083000,4300,Kharghar,6,2,2,yes,no,no,no,no,0,no,furnished
6083000,9620,Kharghar,3,1,1,yes,no,yes,no,no,2,yes,furnished
6020000,6800,Kharghar,2,1,1,yes,yes,yes,no,no,2,no,furnished
6020000,8000,Kharghar,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
6020000,6900,Kharghar,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished
5950000,3700,Kharghar,4,1,2,yes,yes,no,no,yes,0,no,furnished
5950000,6420,Kharghar,3,1,1,yes,no,yes,no,yes,0,yes,furnished
5950000,7020,Kharghar,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
5950000,6540,Kharghar,3,1,1,yes,yes,yes,no,no,2,yes,furnished
5950000,7231,Kharghar,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
5950000,6254,Kharghar,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished
5950000,7320,Kharghar,4,2,2,yes,no,no,no,no,0,no,furnished
5950000,6525,Kharghar,3,2,4,yes,no,no,no,no,1,no,furnished
5943000,15600,Kharghar,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
5880000,7160,Kharghar,3,1,1,yes,no,yes,no,no,2,yes,unfurnished
5880000,6500,Kharghar,3,2,3,yes,no,no,no,yes,0,no,unfurnished
5873000,5500,Kharghar,3,1,3,yes,yes,no,no,yes,1,no,furnished
5873000,11460,Kharghar,3,1,3,yes,no,no,no,no,2,yes,semi-furnished
5866000,4800,Kharghar,3,1,1,yes,yes,yes,no,no,0,no,unfurnished
5810000,5828,Kharghar,4,1,4,yes,yes,no,no,no,0,no,semi-furnished
5810000,5200,Kharghar,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
5810000,4800,Kharghar,3,1,3,yes,no,no,no,yes,0,no,unfurnished
5803000,7000,Kharghar,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished
5775000,6000,Kharghar,3,2,4,yes,no,no,no,yes,0,no,unfurnished
5740000,5400,Kharghar,4,2,2,yes,no,no,no,yes,2,no,unfurnished
5740000,4640,Kharghar,4,1,2,yes,no,no,no,no,1,no,semi-furnished
5740000,5000,Kharghar,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
5740000,6360,Kharghar,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
5740000,5800,Kharghar,3,2,4,yes,no,no,no,yes,0,no,unfurnished
5652500,6660,Kharghar,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
5600000,10500,Kharghar,4,2,2,yes,no,no,no,no,1,no,semi-furnished
5600000,4800,Kharghar,5,2,3,no,no,yes,yes,no,0,no,unfurnished
5600000,4700,Kharghar,4,1,2,yes,yes,yes,no,yes,1,no,furnished
5600000,5000,Kharghar,3,1,4,yes,no,no,no,no,0,no,furnished
5600000,10500,Kharghar,2,1,1,yes,no,no,no,no,1,no,semi-furnished
5600000,5500,Kharghar,3,2,2,yes,no,no,no,no,1,no,semi-furnished
5600000,6360,Kharghar,3,1,3,yes,no,no,no,no,0,yes,semi-furnished
5600000,6600,Kharghar,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished
5600000,5136,Kharghar,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
5565000,4400,Kharghar,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished
5565000,5400,Kharghar,5,1,2,yes,yes,yes,no,yes,0,yes,furnished
5530000,3300,Kharghar,3,3,2,yes,no,yes,no,no,0,no,semi-furnished
5530000,3650,Kharghar,3,2,2,yes,no,no,no,no,2,no,semi-furnished
5530000,6100,Kharghar,3,2,1,yes,no,yes,no,no,2,yes,furnished
5523000,6900,Kharghar,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
5495000,2817,Kharghar,4,2,2,no,yes,yes,no,no,1,no,furnished
5495000,7980,Kharghar,3,1,1,yes,no,no,no,no,2,no,semi-furnished
5460000,3150,Kharghar,3,2,1,yes,yes,yes,no,yes,0,no,furnished
5460000,6210,Kharghar,4,1,4,yes,yes,no,no,yes,0,no,furnished
5460000,6100,Kharghar,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished
5460000,6600,Kharghar,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
5425000,6825,Kharghar,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished
5390000,6710,Kharghar,3,2,2,yes,yes,yes,no,no,1,yes,furnished
5383000,6450,Sector 18 Kharghar,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished
5320000,7800,Kharghar,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished
5285000,4600,Sector 15 Kharghar,2,2,1,yes,no,no,no,yes,2,no,semi-furnished
5250000,4260,Kharghar,4,1,2,yes,no,yes,no,yes,0,no,furnished
5250000,6540,Kharghar,4,2,2,no,no,no,no,yes,0,no,semi-furnished
5250000,5500,Kharghar,3,2,1,yes,no,yes,no,no,0,no,semi-furnished
5250000,10269,Kharghar,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
5250000,8400,Kharghar,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished
5250000,5300,Kharghar,4,2,1,yes,no,no,no,yes,0,yes,unfurnished
5250000,3800,Kharghar,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished
5250000,9800,Sector 18 Kharghar,4,2,2,yes,yes,no,no,no,2,no,semi-furnished
5250000,8520,Kharghar,3,1,1,yes,no,no,no,yes,2,no,furnished
5243000,6050,Kharghar,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished
5229000,7085,Kharghar,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
5215000,3180,Sector 20 Kharghar,3,2,2,yes,no,no,no,no,2,no,semi-furnished
5215000,4500,Kharghar,4,2,1,no,no,yes,no,yes,2,no,semi-furnished
5215000,7200,Kharghar,3,1,2,yes,yes,yes,no,no,1,yes,furnished
5145000,3410,Kharghar,3,1,2,no,no,no,no,yes,0,no,semi-furnished
5145000,7980,Kharghar,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
5110000,3000,Kharghar,3,2,2,yes,yes,yes,no,no,0,no,furnished
5110000,3000,Kharghar,3,1,2,yes,no,yes,no,no,0,no,unfurnished
5110000,11410,Dombivali,2,1,2,yes,no,no,no,no,0,yes,furnished
5110000,6100,Churchgate,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished
5075000,5720,Prabhadevi,2,1,2,yes,no,no,no,yes,0,yes,unfurnished
5040000,3540,Jogeshwari West,2,1,1,no,yes,yes,no,no,0,no,semi-furnished
5040000,7600,Kalyan East,4,1,2,yes,no,no,no,yes,2,no,furnished
5040000,10700,Malad East,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished
5040000,6600,Virar East,3,1,1,yes,yes,yes,no,no,0,yes,furnished
5033000,4800,Virar East,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
5005000,8150,Virar East,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished
4970000,4410,Virar,4,3,2,yes,no,yes,no,no,2,no,semi-furnished
4970000,7686,Malad West,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished
4956000,2800,Borivali East,3,2,2,no,no,yes,no,yes,1,no,semi-furnished
4935000,5948,Malad East,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
4907000,4200,Mira Road East,3,1,2,yes,no,no,no,no,1,no,furnished
4900000,4520,Goregaon West,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
4900000,4095,Goregaon West,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished
4900000,4120,Goregaon West,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
4900000,5400,Borivali East,4,1,2,yes,no,no,no,no,0,no,semi-furnished
4900000,4770,Goregaon West,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished
4900000,6300,Malad West,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
4900000,5800,Malad West,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished
4900000,3000,Kandivali West,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
4900000,2970,Kandivali West,3,1,3,yes,no,no,no,no,0,no,semi-furnished
4900000,6720,Kandivali West,3,1,1,yes,no,no,no,no,0,no,unfurnished
4900000,4646,Kandivali West,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished
4900000,12900,Borivali East,3,1,1,yes,no,no,no,no,2,no,furnished
4893000,3420,Kandivali West,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished
4893000,4995,Kandivali West,4,2,1,yes,no,yes,no,no,0,no,semi-furnished
4865000,4350,Borivali West,2,1,1,yes,no,yes,no,no,0,no,unfurnished
4830000,4160,Goregaon West,3,1,3,yes,no,no,no,no,0,no,unfurnished
4830000,6040,Kandivali West,3,1,1,yes,no,no,no,no,2,yes,semi-furnished
4830000,6862,Goregaon West,3,1,2,yes,no,no,no,yes,2,yes,furnished
4830000,4815,Goregaon West,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished
4795000,7000,Malad East,3,1,2,yes,no,yes,no,no,0,no,unfurnished
4795000,8100,Kandivali West,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished
4767000,3420,Kandivali East,4,2,2,yes,no,no,no,no,0,no,semi-furnished
4760000,9166,Goregaon West,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished
4760000,6321,Goregaon West,3,1,2,yes,no,yes,no,yes,1,no,furnished
4760000,10240,Borivali West,2,1,1,yes,no,no,no,yes,2,yes,unfurnished
4753000,6440,Andheri East,2,1,1,yes,no,no,no,yes,3,no,semi-furnished
4690000,5170,Goregaon West,3,1,4,yes,no,no,no,yes,0,no,semi-furnished
4690000,6000,Goregaon East,2,1,1,yes,no,yes,no,yes,1,no,furnished
4690000,3630,Goregaon East,3,1,2,yes,no,no,no,no,2,no,semi-furnished
4690000,9667,Malad East,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished
4690000,5400,Malad East,2,1,2,yes,no,no,no,no,0,yes,semi-furnished
4690000,4320,Malad East,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
4655000,3745,Malad East,3,1,2,yes,no,yes,no,no,0,no,furnished
4620000,4160,Borivali East,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished
4620000,3880,Borivali East,3,2,2,yes,no,yes,no,no,2,no,semi-furnished
4620000,5680,Malad West,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished
4620000,2870,Kharghar,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
4620000,5010,Wadala,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
4613000,4510,Wadala,4,2,2,yes,no,yes,no,no,0,no,semi-furnished
4585000,4000,Ulwe,3,1,2,yes,no,no,no,no,1,no,furnished
4585000,3840,Ulwe,3,1,2,yes,no,no,no,no,1,yes,semi-furnished
4550000,3760,Ulwe,3,1,1,yes,no,no,no,no,2,no,semi-furnished
4550000,3640,Kharghar,3,1,2,yes,no,no,no,yes,0,no,furnished
4550000,2550,Malad West,3,1,2,yes,no,yes,no,no,0,no,furnished
4550000,5320,Dahisar,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
4550000,5360,kandivali,3,1,2,yes,no,no,no,no,2,yes,unfurnished
4550000,3520,Goregaon,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
4550000,8400,Goregaon,4,1,4,yes,no,no,no,no,3,no,unfurnished
4543000,4100,Goregaon,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished
4543000,4990,Goregaon,4,2,2,yes,yes,yes,no,no,0,yes,furnished
4515000,3510,Goregaon,3,1,3,yes,no,no,no,no,0,no,semi-furnished
4515000,3450,Goregaon East,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
4515000,9860,Malad East,3,1,1,yes,no,no,no,no,0,no,semi-furnished
4515000,3520,Malad East,2,1,2,yes,no,no,no,no,0,yes,furnished
4480000,4510,Bhandup West,4,1,2,yes,no,no,no,yes,2,no,semi-furnished
4480000,5885,thakur village kandivali east,2,1,1,yes,no,no,no,yes,1,no,unfurnished
4480000,4000,Santacruz West,3,1,2,yes,no,no,no,no,2,no,furnished
4480000,8250,Kanjurmarg,3,1,1,yes,no,no,no,no,0,no,furnished
4480000,4040,Borivali East,3,1,2,yes,no,no,no,no,1,no,semi-furnished
4473000,6360,Kandivali East,2,1,1,yes,no,yes,no,yes,1,no,furnished
4473000,3162,I C Colony,3,1,2,yes,no,no,no,yes,1,no,furnished
4473000,3510,Dahisar W,3,1,2,yes,no,no,no,no,0,no,semi-furnished
4445000,3750,Malad East,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
4410000,3968,Marol,3,1,2,no,no,no,no,no,0,no,semi-furnished
4410000,4900,Parel,2,1,2,yes,no,yes,no,no,0,no,semi-furnished
4403000,2880,Lower Parel,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
4403000,4880,Parel,3,1,1,yes,no,no,no,no,2,yes,unfurnished
4403000,4920,Worli,3,1,2,yes,no,no,no,no,1,no,semi-furnished
4382000,4950,Lower Parel,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
4375000,3900,Jogeshwari East,3,1,2,yes,no,no,no,no,0,no,unfurnished
4340000,4500,Jogeshwari East,3,2,3,yes,no,no,yes,no,1,no,furnished
